vendor_name,invoice_number,invoice_date,due_date,currency,subtotal,tax,total_amount,payment_terms,line_items_summary,issues,status,needs_approval,source_email,source_subject,source_file,extraction_method,ocr_pages,execution_id,received_at,intake_latency_seconds,day_of_week,processed_at,invoice_uid,source_message_id,retry_of_execution_id,retry_source_row,retry_processed_at
Maple IT Services,MAP-2139,2026-05-07,2026-06-06,CAD,8813.55,1145.76,9959.31,Net 45,"Five line items including cleaning services, monthly retainers, and server maintenance.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_5bab4a0f.pdf [uid:5bab4a0f-5348-4e85-97e5-343fec402531],inv_5bab4a0f.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:46.000Z,239194,Monday,2026-06-29T19:16:20.183Z,5bab4a0f-5348-4e85-97e5-343fec402531,19f068ddeea88467,,,
Bluebird Marketing,BLU-2138,2026-02-27,2026-04-13,CAD,4660.89,605.92,5266.81,Net 45,"Design revisions, freight charges, and monthly retainer fees for three months.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_e962aba8.pdf [uid:e962aba8-435a-4b09-9073-a8f7a52b750d],inv_e962aba8.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:40.000Z,239204,Monday,2026-06-29T19:16:23.653Z,e962aba8-435a-4b09-9073-a8f7a52b750d,19f068dc6abca1d8,,,
Bluebird Marketing,BLU-2137,2026-02-18,2026-04-04,CAD,3004.13,390.54,3903.87,Net 45,"Courier delivery (3 items) and server maintenance (4 items) totaling CAD $3,004.13 before tax.",Math check failed: subtotal+tax (3394.67) != total (3903.87),Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_80b6160f.pdf [uid:80b6160f-72b6-4186-8c6e-47fbf13f8ea5],inv_80b6160f.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:34.000Z,239213,Monday,2026-06-29T19:16:27.367Z,80b6160f-72b6-4186-8c6e-47fbf13f8ea5,19f068daca91edfb,,,
Lakeside Logistics,LAK-2136,2026-02-26,2026-04-12,CAD,1202.04,156.27,1358.31,Due on receipt,"Purchase of 6 toner cartridges, 2 freight charges, and 3 software licenses with 13% tax applied.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_5373cbec.pdf [uid:5373cbec-544b-4ae6-8ce5-e23afd9f37fe],inv_5373cbec.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:28.000Z,239223,Monday,2026-06-29T19:16:30.601Z,5373cbec-544b-4ae6-8ce5-e23afd9f37fe,19f068d9702ae24a,,,
Bluebird Marketing,,2026-06-21,2026-07-21,CAD,11144.16,1448.74,12592.9,Due on receipt,"Six catering platters, six monthly retainers, and six stationery sets.",Invoice number looks invalid (possible OCR/reference mismatch); Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_4675b0d8.pdf [uid:4675b0d8-9f39-459c-b433-b81f2bbcd24e],inv_4675b0d8.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:22.000Z,239232,Monday,2026-06-29T19:16:33.854Z,4675b0d8-9f39-459c-b433-b81f2bbcd24e,19f068d85a399fb9,,,
Maple IT Services,MAP-2134,2026-05-21,2026-07-05,CAD,3344.44,434.78,3779.22,Net 45,"Four toner cartridges, six design revisions, and five courier deliveries.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_9f9848bf.pdf [uid:9f9848bf-d97a-449d-8396-c324fb8948c7],inv_9f9848bf.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:17.000Z,239241,Monday,2026-06-29T19:16:37.507Z,9f9848bf-d97a-449d-8396-c324fb8948c7,19f068d6c8dd14ea,,,
Maple IT Services,MAP-2133,2026-03-31,2026-05-15,CAD,1950.91,253.62,2204.53,Net 30,"Three courier delivery charges totaling CAD 1,950.91 before tax.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_7fa4ed3d.pdf [uid:7fa4ed3d-8241-4b6a-b071-d7f4b2a6541e],inv_7fa4ed3d.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:11.000Z,239250,Monday,2026-06-29T19:16:40.716Z,7fa4ed3d-8241-4b6a-b071-d7f4b2a6541e,19f068d5745ab64c,,,
Lakeside Logistics,LAK-2132,2026-03-17,2026-04-01,USD,2651.4,344.68,2996.08,Net 15,Catering platter (5 units) and software license (5 units) with sales tax applied.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_630e4866.pdf [uid:630e4866-994d-4f3b-898f-8a3888d0f458],inv_630e4866.pdf,mistral-document-annotation,1,57,2026-06-27T00:49:05.000Z,239259,Monday,2026-06-29T19:16:43.973Z,630e4866-994d-4f3b-898f-8a3888d0f458,19f068d3c80c738f,,,
Lakeside Logistics,,2026-03-13,2026-04-12,CAD,2254.36,293.07,2547.43,Net 45,"Two cleaning service charges at $1,127.18 each with 13% tax.",Invoice number looks invalid (possible OCR/reference mismatch); Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_ea2557bf.pdf [uid:ea2557bf-8b30-43af-b5ea-abb19fe98d99],inv_ea2557bf.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:59.000Z,239269,Monday,2026-06-29T19:16:47.882Z,ea2557bf-8b30-43af-b5ea-abb19fe98d99,19f068d2699bc950,,,
Bluebird Marketing,BLU-2130,2026-01-17,2026-02-16,CAD,2553.65,331.97,2885.62,Due on receipt,"Multiple items including courier deliveries, software licenses, and cleaning services totaling CAD $2,885.62.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_904d19eb.pdf [uid:904d19eb-7385-4f4b-a2c3-59b95f4b0dd3],inv_904d19eb.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:53.000Z,239279,Monday,2026-06-29T19:16:51.637Z,904d19eb-7385-4f4b-a2c3-59b95f4b0dd3,19f068d13947e2da,,,
Lakeside Logistics,LAK-2128,2026-02-14,2026-03-16,CAD,2191.02,284.83,2475.85,Net 45,Two line items: printer paper (case) and monthly retainer for 4 units.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_6cb9c004.pdf [uid:6cb9c004-1f45-4ef4-972e-5aff45e7e760],inv_6cb9c004.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:48.000Z,239287,Monday,2026-06-29T19:16:54.920Z,6cb9c004-1f45-4ef4-972e-5aff45e7e760,19f068cf85d02127,,,
Lakeside Logistics,LAK-2128,2026-02-01,2026-03-03,CAD,2594.25,337.25,2931.5,Net 15,"Design revisions, stationery sets, and cleaning services billed in CAD.",Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_08288132.pdf [uid:08288132-c77c-400f-926e-b3d383eea524],inv_08288132.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:42.000Z,239296,Monday,2026-06-29T19:16:58.430Z,08288132-c77c-400f-926e-b3d383eea524,19f068ce3aa902b5,,,
Lakeside Logistics,LAK-2127,2026-01-23,2026-02-07,USD,1129.4,146.82,1276.22,Due on receipt,"Server maintenance, software licenses, and monthly retainers billed for 3, 2, and 4 units respectively.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_19b2d853.pdf [uid:19b2d853-97dd-4ebc-b9ab-f638db3a2ac0],inv_19b2d853.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:36.000Z,239306,Monday,2026-06-29T19:17:01.670Z,19b2d853-97dd-4ebc-b9ab-f638db3a2ac0,19f068ccabcc8d8f,,,
Cedar Facilities Co,,2026-03-13,2026-04-12,CAD,1171.46,152.29,1323.75,Due on receipt,"Purchase of 1 case of printer paper for $1,171.46 plus 13% tax.",Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_7d7a829a.pdf [uid:7d7a829a-70ed-4e90-885e-e111a458b99b],inv_7d7a829a.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:30.000Z,239315,Monday,2026-06-29T19:17:04.909Z,7d7a829a-70ed-4e90-885e-e111a458b99b,19f068cb4910b05d,,,
Maple IT Services,MAP-2125,2026-06-02,2026-07-02,CAD,2309.16,300.19,2609.35,Net 45,Purchase of 11 toner cartridges and 5 months of retainer services,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_65f093fa.pdf [uid:65f093fa-9fca-4f45-b823-e5357d40a307],inv_65f093fa.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:24.000Z,239324,Monday,2026-06-29T19:17:08.234Z,65f093fa-9fca-4f45-b823-e5357d40a307,19f068c9d6134561,,,
Lakeside Logistics,LAK-2124,2026-03-28,2026-04-27,CAD,2231.1,290.04,2521.14,Net 45,"Purchase of 5 cases of printer paper for a total of $2,521.14 including tax.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_8cc45c91.pdf [uid:8cc45c91-67d0-4165-a922-6f41f97d3a47],inv_8cc45c91.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:19.000Z,239332,Monday,2026-06-29T19:17:11.394Z,8cc45c91-67d0-4165-a922-6f41f97d3a47,19f068c868cf3657,,,
Northstar Office Supply,NOR-2123,2026-06-28,2026-07-28,CAD,490.11,63.71,553.82,Net 30,"Purchase of stationery, cleaning services, printer paper, and software licenses totaling 490.11 CAD before tax.",None,Auto-Approved,FALSE,ayodejiyekeen01@gmail.com,Invoice — inv_db621011.pdf [uid:db621011-2660-4f36-b062-7959917aec1e],inv_db621011.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:13.000Z,239342,Monday,2026-06-29T19:17:14.678Z,db621011-2660-4f36-b062-7959917aec1e,19f068c73d65b193,,,
Bluebird Marketing,BLU-2122,2026-05-31,2026-06-30,CAD,5869.15,762.99,6632.14,Net 30,"5 catering platters at $1,173.83 each with 13% tax",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_b08297c7.pdf [uid:b08297c7-e1e9-4ff6-914e-db9f00feefde],inv_b08297c7.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:07.000Z,239351,Monday,2026-06-29T19:17:18.108Z,b08297c7-e1e9-4ff6-914e-db9f00feefde,19f068c5bd0b7f96,,,
Cedar Facilities Co,CED-2103,2026-03-03,2026-03-18,CAD,1389.06,180.58,1569.64,Net 30,Purchase of 12 stationery sets (6 at 98.71 CAD and 6 at 132.80 CAD) with GST/HST tax applied.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_1f874175.pdf [uid:1f874175-69c4-46b1-a2c0-421b1b769d94],inv_1f874175.pdf,mistral-document-annotation,1,57,2026-06-27T00:48:01.000Z,239360,Monday,2026-06-29T19:17:21.284Z,1f874175-69c4-46b1-a2c0-421b1b769d94,19f068c471585ec1,,,
Northstar Office Supply,NOR-2120,2026-06-28,2026-07-28,CAD,454.14,59.04,513.18,Net 15,Purchase of 4 cases of printer paper and 6 toner cartridges,None,Auto-Approved,FALSE,ayodejiyekeen01@gmail.com,Invoice — inv_165f5d3d.pdf [uid:165f5d3d-acd1-4821-a93b-e33be196735e],inv_165f5d3d.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:55.000Z,239369,Monday,2026-06-29T19:17:24.477Z,165f5d3d-acd1-4821-a93b-e33be196735e,19f068c2f9201917,,,
Maple IT Services,MAP-2117,2026-04-29,2026-05-29,CAD,2909.45,378.23,3287.68,Net 45,Freight and courier delivery charges for 6 items.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_5f3cdf96.pdf [uid:5f3cdf96-3abb-4f96-83bd-04a273036e22],inv_5f3cdf96.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:50.000Z,239378,Monday,2026-06-29T19:17:28.201Z,5f3cdf96-3abb-4f96-83bd-04a273036e22,19f068c167fc8dce,,,
Northstar Office Supply,,2026-04-10,2026-05-25,CAD,847.37,110.16,957.53,Net 30,"Consulting hours, catering platter, cleaning service, and software licenses purchased.",Invoice number looks invalid (possible OCR/reference mismatch); Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_c8cad2bd.pdf [uid:c8cad2bd-ecb3-4b6e-b033-1f77bb7eba0f],inv_c8cad2bd.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:44.000Z,239388,Monday,2026-06-29T19:17:31.586Z,c8cad2bd-ecb3-4b6e-b033-1f77bb7eba0f,19f068bfed5c6346,,,
Maple IT Services,MAP-2117,2026-06-25,2026-08-09,CAD,2675.69,347.84,3023.53,Net 30,"Purchase of office supplies, design revisions, and consulting services totaling $3,023.53 including tax.",Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_0eb71d22.pdf [uid:0eb71d22-ef93-4a3d-a184-120f8619021e],inv_0eb71d22.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:38.000Z,239397,Monday,2026-06-29T19:17:35.279Z,0eb71d22-ef93-4a3d-a184-120f8619021e,19f068be8a18a2eb,,,
Bluebird Marketing,BLU-2116,2026-03-21,2026-05-05,CAD,3187.7,414.4,3602.1,Net 45,"Office supplies and catering items including paper, toner, delivery, and platter.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_c73a2a41.pdf [uid:c73a2a41-5be1-40bd-9187-e73d534fb189],inv_c73a2a41.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:32.000Z,239407,Monday,2026-06-29T19:17:38.664Z,c73a2a41-5be1-40bd-9187-e73d534fb189,19f068bd3448c0ca,,,
Northstar Office Supply,,2026-03-15,2026-03-30,USD,414.6,53.9,468.5,Due on receipt,Monthly retainer and server maintenance services billed for 3 months.,Invoice number looks invalid (possible OCR/reference mismatch); Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_3fb9c9b4.pdf [uid:3fb9c9b4-2b3d-474f-8b3b-1d60b300d181],inv_3fb9c9b4.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:26.000Z,239416,Monday,2026-06-29T19:17:41.902Z,3fb9c9b4-2b3d-474f-8b3b-1d60b300d181,19f068bc318bda76,,,
Bluebird Marketing,BLU-2113,2026-05-16,2026-05-16,CAD,2011.26,261.46,2272.72,Due on receipt,"Catering platter (x3) for CAD $2,011.26 plus CAD $261.46 tax",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_f934b7d6.pdf [uid:f934b7d6-92fd-4627-9649-9f110f8ecaa6],inv_f934b7d6.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:21.000Z,239424,Monday,2026-06-29T19:17:45.138Z,f934b7d6-92fd-4627-9649-9f110f8ecaa6,19f068ba7fe42456,,,
Bluebird Marketing,BLU-2113,2026-01-21,2026-03-07,CAD,64,8.32,72.32,Net 30,"Two line items: server maintenance and stationery sets, each billed 4 times at $8.00 per unit.",Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_764fa6a8.pdf [uid:764fa6a8-49e2-4a3a-8f81-3b3ab369dd77],inv_764fa6a8.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:15.000Z,239434,Monday,2026-06-29T19:17:48.892Z,764fa6a8-49e2-4a3a-8f81-3b3ab369dd77,19f068b90b7b72b1,,,
Maple IT Services,MAP-2112,2026-06-02,2026-07-02,CAD,2506.08,325.79,2831.87,Net 45,"Two catering platters totaling CAD $2,506.08 plus CAD $325.79 tax.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_0245a211.pdf [uid:0245a211-46bf-4eae-acb4-29c4bb22ef03],inv_0245a211.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:09.000Z,239444,Monday,2026-06-29T19:17:52.576Z,0245a211-46bf-4eae-acb4-29c4bb22ef03,19f068b79c9d9696,,,
Northstar Office Supply,NOR-2108,2026-01-16,2026-03-02,CAD,421.84,54.84,476.68,Net 45,4 cleaning service sessions billed at $105.46 each.,None,Auto-Approved,FALSE,ayodejiyekeen01@gmail.com,Invoice — inv_b2a15683.pdf [uid:b2a15683-fade-4c42-8ea7-84c12aace9cb],inv_b2a15683.pdf,mistral-document-annotation,1,57,2026-06-27T00:47:03.000Z,239453,Monday,2026-06-29T19:17:55.906Z,b2a15683-fade-4c42-8ea7-84c12aace9cb,19f068b6033396b3,,,
QuickPrint Studio,QUI-2110,2026-05-31,2026-07-15,CAD,512.62,66.64,579.26,Net 15,Stationery sets and monthly retainer services billed for 2 and 4 units respectively.,None,Auto-Approved,FALSE,ayodejiyekeen01@gmail.com,Invoice — inv_1eee84bb.pdf [uid:1eee84bb-0d0e-4a36-acf1-e17a3015d0b9],inv_1eee84bb.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:57.000Z,239462,Monday,2026-06-29T19:17:59.176Z,1eee84bb-0d0e-4a36-acf1-e17a3015d0b9,19f068b4b6a83d0c,,,
Bluebird Marketing,BLU-2109,2026-05-02,2026-05-17,CAD,2391.98,310.96,2702.94,Due on receipt,Monthly retainer and consulting hours billed at standard rates with 13% tax.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_7867f4ef.pdf [uid:7867f4ef-0a06-4f57-9023-ae2bc46dabad],inv_7867f4ef.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:52.000Z,239470,Monday,2026-06-29T19:18:02.445Z,7867f4ef-0a06-4f57-9023-ae2bc46dabad,19f068b351de7206,,,
Northstar Office Supply,NOR-2108,2026-03-01,2026-03-31,CAD,569,73.97,642.97,Due on receipt,Software licenses and design revision services totaling $642.97 including tax.,Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_d079ca3a.pdf [uid:d079ca3a-c47c-4886-9c95-c1048191c44c],inv_d079ca3a.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:46.000Z,239480,Monday,2026-06-29T19:18:05.676Z,d079ca3a-c47c-4886-9c95-c1048191c44c,19f068b1f7b73c7b,,,
Maple IT Services,MAP-2102,2026-01-12,2026-02-11,CAD,1644.6,213.8,1858.4,Net 45,2 catering platters at 822.30 CAD each with GST/HST included.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_7a4b4d69.pdf [uid:7a4b4d69-4cd1-4286-8a5c-08b8d82801b8],inv_7a4b4d69.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:40.000Z,239489,Monday,2026-06-29T19:18:08.891Z,7a4b4d69-4cd1-4286-8a5c-08b8d82801b8,19f068b0d4753e22,,,
Lakeside Logistics,LAK-2106,2026-04-21,2026-05-06,CAD,3184.22,413.95,3598.17,Net 45,One cleaning service and four freight charges.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_d2f3bff1.pdf [uid:d2f3bff1-041f-4f2a-bd61-2960117567ee],inv_d2f3bff1.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:34.000Z,239498,Monday,2026-06-29T19:18:12.365Z,d2f3bff1-041f-4f2a-bd61-2960117567ee,19f068af75195d48,,,
Bluebird Marketing,BLU-2105,2026-01-31,2026-02-15,CAD,5133.65,667.37,5801.02,Net 30,Monthly retainer and server maintenance services billed.,None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_fe16b880.pdf [uid:fe16b880-4e2f-471d-92b4-154830d65d2e],inv_fe16b880.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:29.000Z,239507,Monday,2026-06-29T19:18:15.609Z,fe16b880-4e2f-471d-92b4-154830d65d2e,19f068adb7dd5867,,,
Trillium Catering,,2026-05-03,2026-06-02,CAD,1715.14,222.97,1938.11,Due on receipt,"Four stationery sets, two software licenses, and six catering platters purchased.",Invoice number looks invalid (possible OCR/reference mismatch); Missing invoice number,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_3e49a022.pdf [uid:3e49a022-fb39-4834-99a6-d7ab107229ba],inv_3e49a022.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:23.000Z,239516,Monday,2026-06-29T19:18:19.307Z,3e49a022-fb39-4834-99a6-d7ab107229ba,19f068ac4aa56c4a,,,
Cedar Facilities Co,CED-2103,2026-02-16,2026-04-02,CAD,1454.36,189.07,1643.43,Net 45,"Design revisions and stationery sets billed at CAD 164.54 and CAD 159.24 per unit, respectively.",Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_32f9d477.pdf [uid:32f9d477-191d-4293-ba9d-ca59d11f2595],inv_32f9d477.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:17.000Z,239526,Monday,2026-06-29T19:18:22.651Z,32f9d477-191d-4293-ba9d-ca59d11f2595,19f068ab5826fed2,,,
Maple IT Services,MAP-2102,2026-03-21,2026-04-05,CAD,6000.26,780.03,6780.29,Net 15,Two line items: catering platter (4 units) and toner cartridge (1 unit),Duplicate invoice - already processed,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_7ad759f9.pdf [uid:7ad759f9-381d-4cf6-acb8-1b26110a484d],inv_7ad759f9.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:11.000Z,239535,Monday,2026-06-29T19:18:25.867Z,7ad759f9-381d-4cf6-acb8-1b26110a484d,19f068a95b0fa332,,,
Lakeside Logistics,LAK-2101,2026-06-25,2026-08-09,CAD,4168.26,541.87,4710.13,Net 15,"Purchase of 6 toner cartridges, 6 stationery sets, and 6 cases of printer paper.",None,Pending Approval,TRUE,ayodejiyekeen01@gmail.com,Invoice — inv_e6f8a816.pdf [uid:e6f8a816-f604-46e2-a963-dcd407458ed0],inv_e6f8a816.pdf,mistral-document-annotation,1,57,2026-06-27T00:46:05.000Z,239544,Monday,2026-06-29T19:18:29.147Z,e6f8a816-f604-46e2-a963-dcd407458ed0,19f068a817836878,,,
